# u v peso
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 1 6.5
2 3 4
2 5 12
2 3 4
2 5 12
2 3 4
2 3 4
2 5 12
2 5 12
2 3 4
2 3 4
2 3 4
2 3 4
2 5 12
2 5 12
2 5 12
2 5 12
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 3 4
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
2 5 12
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 1 15
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 2 4
3 1 15
3 1 15
3 1 15
3 1 15
3 2 4
3 2 4
3 2 4
3 2 4
3 1 15
3 1 15
3 2 4
3 2 4
3 1 15
3 2 4
3 2 4
3 1 15
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
3 4 7.5
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
5 2 12
